database,workload,count,p50_ms,p95_ms,p99_ms,mean_ms,std_ms,min_ms,max_ms,throughput_qps,errors,concurrency,successful_ops,failed_ops,wall_clock_ms,read_throughput_qps,write_throughput_qps
neo4j,mixed_c40,4000,75.38325,163.76278499999972,405.623800999999,90.46440975,57.48567307890771,48.9076,644.8567,429.99372649902875,0,40,4000,0,9302.461,342.2750062932269,87.71872020580187
memgraph,one_hop,100,220.5033,230.70764499999996,497.08152300000216,231.14650999999995,73.24347789190175,218.2446,906.0726,4.32558389694466,0,,100,0,23118.266,,
memgraph,two_hop,100,220.28875,224.304655,231.75222700000134,223.36821,27.358400186924307,217.8111,494.9167,4.476154658000903,0,,100,0,22340.604,,
memgraph,three_hop,100,221.25220000000002,231.36013499999996,859.0347030000003,244.18086000000002,114.86062266557586,217.7735,917.8707,4.094671708938222,0,,100,0,24421.982,,
memgraph,point_lookup,100,220.264,224.520055,236.417738,220.859935,2.712058023876887,218.1944,236.6591,4.5270208663022125,0,,100,0,22089.582,,
memgraph,filtered_lookup,100,230.29975000000002,233.00608,233.78860600000002,230.55638000000002,1.5398733612216287,228.2149,239.9371,4.336572097868054,0,,100,0,23059.688,,
memgraph,aggregation,100,331.52395,438.81696499999975,554.596116000002,347.53774899999996,72.29489742553827,328.7627,939.8958,2.877101159924048,0,,100,0,34757.207,,
memgraph,mixed_c1,100,220.49995,286.70728499999996,327.33880500000004,226.656853,22.77896213197368,217.68,333.8139,4.409789399085892,0,1,100,0,22676.82,3.3514399433052784,1.0583494557806141
memgraph,mixed_c10,1000,224.9921,239.7977,1329.4177929999964,270.3132865,329.48172840599483,205.5698,7012.1516,36.825265844356025,0,10,1000,0,27155.269,29.239261080418682,7.586004763937341
memgraph,mixed_c40,4000,225.77745,243.273695,299.6430619999995,238.873590025,144.2281779136046,206.3465,2970.8429,166.56351249534902,0,40,4000,0,24014.863,132.58455594629783,33.978956549051205
falkordb,one_hop,100,26.08695,28.460829999999998,30.176190000000002,26.139458,1.1757138359464858,23.4796,30.2742,38.202938363723064,0,,100,0,2617.6,,
falkordb,two_hop,100,26.294400000000003,29.74641,31.583209000000043,26.699388,1.9201812887995757,24.0475,39.8704,37.400886715182594,0,,100,0,2673.733,,
falkordb,three_hop,100,26.0274,28.60719,29.860032000000007,26.197418,1.239245410189604,23.7163,30.9819,38.123048314368454,0,,100,0,2623.085,,
falkordb,point_lookup,100,25.98635,28.395414999999996,30.950467000000053,26.204690999999997,1.9658447183892733,23.7461,41.4412,38.10846209452263,0,,100,0,2624.089,,
falkordb,filtered_lookup,100,28.758650000000003,30.54859,31.801787,28.862453000000002,0.9851908264346557,27.2065,32.5034,34.611006722392,0,,100,0,2889.254,,
falkordb,aggregation,100,408.00415,462.57703,700.6854830000001,422.03879600000005,49.94122784535222,366.6533,702.2084,2.369258785752361,0,,100,0,42207.293,,
falkordb,mixed_c1,100,26.0542,29.70165,31.386932000000016,26.397176999999996,1.644134611755072,23.6388,34.4393,37.770229942893685,0,1,100,0,2647.588,28.7053747565992,9.064855186294484
falkordb,mixed_c10,1000,25.48095,255.40507499999998,507.3559129999999,51.7768649,190.09107077493297,22.4474,4539.0091,192.25593109547432,0,10,1000,0,5201.4,152.65120928980662,39.60472180566771
falkordb,mixed_c40,4000,25.34245,29.692734999999995,39.89136099999999,53.277386275,356.87277437178784,21.9649,6722.1003,591.3853604209907,0,40,4000,0,6763.779,470.74274689510855,120.6426135258821
arangodb,one_hop,100,260.52845,301.133705,303.815692,270.761592,17.70061833274578,256.3779,310.9627,3.69290597489143,0,,100,0,27078.946,,
arangodb,two_hop,100,268.9628,503.11736999999977,1052.5217140000036,324.652332,184.24429594850355,257.553,1769.4415,3.0799317722426056,0,,100,0,32468.252,,
arangodb,three_hop,100,300.9318,3781.4394849999985,10218.896832000037,1105.754857,2239.300388178546,259.2919,17315.5467,0.9043292489308834,0,,100,0,110579.195,,
arangodb,point_lookup,100,259.49760000000003,304.4979,722.294371,276.40463800000003,66.3056708723074,256.6925,727.3504,3.6175007770934293,0,,100,0,27643.394,,
arangodb,filtered_lookup,100,271.1642,392.04263000000003,420.174761000002,294.892092,61.217287236864195,264.101,807.2015,3.390729511555072,0,,100,0,29492.179,,
arangodb,aggregation,100,1890.0729000000001,2700.151125,3409.8009020000013,1851.7815309999999,484.92923119067996,893.533,3681.9224,0.5400043944045604,0,,100,0,185183.678,,
arangodb,mixed_c1,100,294.35220000000004,598.0864750000001,642.5206770000002,350.962452,124.9702475351053,261.5942,665.5656,2.8463277712312554,0,1,100,0,35132.988,2.163209106135754,0.6831186650955013
arangodb,mixed_c10,1000,294.84455,597.0382500000001,689.9555729999973,352.5556625,141.34058942941084,257.8408,1370.5207,28.110292317327524,0,10,1000,0,35574.159,22.31957209995805,5.790720217369469
arangodb,mixed_c40,4000,399.26305,879.8716549999991,1207.1095339999993,469.594111225,212.5552263115165,258.6251,4645.636,83.72715552181405,0,40,4000,0,47774.225,66.64681579536399,17.080339726450067
